time,id,x,y,speed,angle
0.00,0DEtoFR.0,11368.01,9892.95,13.89,231.55
0.00,randUni18368:1,6630.52,6036.52,0.00,130.87
1.00,0DEtoFR.0,11355.13,9882.72,16.40,231.55
1.00,randUni18368:1,6632.49,6034.82,2.59,130.87
2.00,0DEtoFR.0,11340.59,9871.18,18.51,231.55
2.00,CNA____NBNA_0,10345.14,9246.37,0.00,176.62
2.00,CNA____NBNA_1,7448.22,6512.58,0.00,289.17
2.00,randUni18368:1,6636.61,6031.25,5.45,130.87
3.00,0DEtoFR.0,11325.19,9858.57,19.85,229.46
3.00,CNA____NBNA_0,10343.40,9244.63,2.47,195.74
3.00,CNA____NBNA_1,7446.88,6512.27,1.38,281.61
3.00,randUni18368:1,6641.89,6026.68,6.99,130.87
4.00,0DEtoFR.0,11308.82,9844.57,21.48,229.46
4.00,CNA____NBNA_0,10340.48,9241.93,3.99,219.00
4.00,CNA____NBNA_1,7443.92,6511.58,3.07,270.33
4.00,randUni18368:1,6648.42,6021.03,8.63,130.87
5.00,0DEtoFR.0,11292.01,9829.00,22.85,227.15
5.00,CNA____NBNA_0,10336.02,9237.89,6.04,227.16
5.00,CNA____NBNA_1,7439.25,6511.09,4.79,262.67
5.00,randUni18368:1,6656.42,6014.39,10.40,128.15
5.00,randUni834:1,5600.65,7693.58,0.00,252.53
6.00,0DEtoFR.0,11274.35,9811.29,24.95,223.88
6.00,CNA____NBNA_0,10329.98,9232.67,8.00,228.71
6.00,CNA____NBNA_1,7432.64,6511.43,6.67,268.70
6.00,randUni18368:1,6666.01,6007.85,11.61,124.29
6.00,randUni834:1,5598.98,7693.06,1.75,252.53
7.00,0DEtoFR.0,11255.53,9791.71,27.08,223.88
7.00,CNA____NBNA_0,10322.35,9226.18,10.04,229.63
7.00,CNA____NBNA_1,7424.63,6511.85,8.09,272.99
7.00,randUni18368:1,6676.94,6001.76,12.61,109.87
7.00,randUni834:1,5595.62,7692.00,3.52,252.53
8.00,0DEtoFR.0,11236.68,9770.92,28.42,219.92
8.00,0DEtoFR.1,11368.40,9893.26,13.89,231.55
8.00,CNA____NBNA_0,10313.49,9218.54,11.74,229.22
8.00,CNA____NBNA_1,7414.54,6512.38,10.19,272.99
8.00,randUni18368:1,6688.36,5997.65,12.14,109.79
8.00,randUni834:1,5590.49,7690.38,5.38,252.53
